Urut,Periode,Tahun,Bulan,Bawang Merah,Bawang Putih,Beras,Cabai Merah,Cabai Rawit,Daging Ayam Ras,Daging Sapi,Gula Pasir,Ikan Kembung,Jeruk,Mie Kering Instan,Minyak Goreng,Pisang,Susu Bubuk,Susu Bubuk Balita,Tahu,Telur Ayam Ras,Tempe,Tepung Terigu,Udang Basah
1,20_Jan,2020,01-Januari,1.83,5.61,0.12,40.77,44.72,3.26,0.45,1.19,0.74,7.26,0.94,0.60,0.00,-0.31,0.08,0.00,-3.09,0.00,0.35,-1.73
2,20_Feb,2020,02-Februari,-7.31,36.15,0.22,21.11,-18.80,-0.77,0.63,0.92,2.55,1.55,1.33,0.56,5.14,0.00,0.35,-0.36,-0.45,0.00,-0.56,2.95
3,20_Mar,2020,03-Maret,0.67,-5.78,-0.06,-49.42,-26.61,-2.40,-0.38,7.10,-0.43,3.84,0.45,0.54,0.00,-0.25,1.65,1.85,1.59,0.46,0.61,3.75
4,20_Apr,2020,04-April,19.86,-10.41,0.04,-43.63,-7.67,-11.90,-0.06,12.83,0.13,-0.52,0.00,0.66,0.64,0.01,0.00,2.94,-6.42,1.38,1.88,0.34
5,20_Mei,2020,05-Mei,10.51,-26.61,-0.12,-18.37,-46.58,12.62,0.18,-2.92,-1.99,3.03,0.49,0.52,1.51,0.00,0.00,-0.04,-15.05,0.00,0.57,0.14
6,20_Jun,2020,06-Juni,-0.23,-15.77,0.00,-3.76,-16.34,12.81,-0.11,-5.18,1.68,-5.86,0.33,0.58,0.62,1.52,0.90,4.23,7.99,0.44,2.09,-3.15
7,20_Jul,2020,07-Juli,-17.96,-13.28,0.12,8.34,17.36,-5.83,-0.03,-3.57,1.80,-4.74,0.35,-1.01,0.00,2.18,2.30,3.71,7.26,0.44,1.87,-0.97
8,20_Agu,2020,08-Agustus,-12.70,1.84,0.00,6.82,1.04,-2.79,0.07,1.96,-0.74,4.17,-0.60,2.09,4.81,0.02,0.00,-0.82,-0.55,0.00,-2.62,-1.59
9,20_Sep,2020,09-September,3.37,8.43,0.00,5.04,-12.89,-2.00,-0.21,-0.04,0.00,2.40,0.04,0.66,-0.20,-0.27,0.00,0.00,-4.29,0.00,1.05,-1.31
10,20_Okt,2020,10-Oktober,9.68,2.32,0.00,41.71,11.53,-1.89,-0.22,-4.16,0.55,0.43,-0.04,0.53,1.64,0.00,0.00,0.00,-1.79,0.00,0.71,-0.48
