Komoditas,Tanggal,Actual,Forecast,Error,Absolute_Error,Percentage_Error,Horizon,MAPE
Bawang Merah,2024-08-01,-0.029067,-1.809626,-1.780559,1.780559,6125.779936,1,10.814163
Bawang Merah,2024-09-01,0.876605,1.331924,0.455320,0.455320,51.941288,2,10.814163
Bawang Merah,2024-10-01,0.137234,0.267842,0.130607,0.130607,95.171054,3,10.814163
Bawang Merah,2024-11-01,0.534176,0.394735,-0.139440,0.139440,-26.103838,4,10.814163
Bawang Merah,2024-12-01,-0.426012,0.146751,0.572763,0.572763,-134.447691,5,10.814163
Bawang Merah,2025-01-01,-0.651757,-0.292938,0.358819,0.358819,-55.054052,6,10.814163
Bawang Putih,2024-08-01,0.053700,1.923790,1.870089,1.870089,3482.451744,1,22.096151
Bawang Putih,2024-09-01,0.010388,-0.698271,-0.708659,0.708659,-6821.972493,2,22.096151
Bawang Putih,2024-10-01,-0.027863,0.340822,0.368685,0.368685,-1323.201203,3,22.096151
Bawang Putih,2024-11-01,0.043263,0.039397,-0.003867,0.003867,-8.937915,4,22.096151
Bawang Putih,2024-12-01,0.033503,-0.324248,-0.357751,0.357751,-1067.820987,5,22.096151
Bawang Putih,2025-01-01,-0.041445,0.187874,0.229319,0.229319,-553.306344,6,22.096151
Beras,2024-08-01,-0.278488,0.779201,1.057689,1.057689,-379.797451,1,16.046074
Beras,2024-09-01,-0.167654,2.962738,3.130392,3.130392,-1867.174659,2,16.046074
Beras,2024-10-01,0.074507,-0.596104,-0.670612,0.670612,-900.062894,3,16.046074
Beras,2024-11-01,-0.056470,-1.989154,-1.932684,1.932684,3422.490435,4,16.046074
Beras,2024-12-01,0.104185,-1.633093,-1.737279,1.737279,-1667.491510,5,16.046074
Beras,2025-01-01,0.099777,1.487298,1.387521,1.387521,1390.627453,6,16.046074
Cabai Merah,2024-08-01,0.511002,-0.594693,-1.105695,1.105695,-216.377891,1,1.719485
Cabai Merah,2024-09-01,-0.441391,-0.659622,-0.218231,0.218231,49.441564,2,1.719485
Cabai Merah,2024-10-01,0.082004,0.047847,-0.034157,0.034157,-41.653215,3,1.719485
Cabai Merah,2024-11-01,0.290231,0.186005,-0.104226,0.104226,-35.911494,4,1.719485
Cabai Merah,2024-12-01,0.625255,0.075420,-0.549835,0.549835,-87.937694,5,1.719485
Cabai Merah,2025-01-01,0.055340,0.387582,0.332242,0.332242,600.368959,6,1.719485
Cabai Rawit,2024-08-01,0.017195,-1.004979,-1.022174,1.022174,-5944.730877,1,11.364993
Cabai Rawit,2024-09-01,-1.369202,1.729632,3.098834,3.098834,-226.324048,2,11.364993
Cabai Rawit,2024-10-01,0.845341,-1.053983,-1.899324,1.899324,-224.681392,3,11.364993
Cabai Rawit,2024-11-01,-0.195223,-0.052528,0.142695,0.142695,-73.093154,4,11.364993
Cabai Rawit,2024-12-01,0.466985,1.697574,1.230589,1.230589,263.517949,5,11.364993
Cabai Rawit,2025-01-01,0.646737,0.086348,-0.560389,0.560389,-86.648655,6,11.364993
Daging Ayam Ras,2024-08-01,-0.439782,-1.480230,-1.040448,1.040448,236.582575,1,3.582997
Daging Ayam Ras,2024-09-01,0.458589,1.001437,0.542848,0.542848,118.373420,2,3.582997
Daging Ayam Ras,2024-10-01,-0.122587,0.373135,0.495722,0.495722,-404.384781,3,3.582997
Daging Ayam Ras,2024-11-01,0.145959,-1.188623,-1.334581,1.334581,-914.354198,4,3.582997
Daging Ayam Ras,2024-12-01,-0.379126,-0.031996,0.347130,0.347130,-91.560631,5,3.582997
Daging Ayam Ras,2025-01-01,0.224299,1.086822,0.862524,0.862524,384.542584,6,3.582997
Daging Sapi,2024-08-01,0.788938,0.837037,0.048099,0.048099,6.096660,1,1.033408
Daging Sapi,2024-09-01,-2.852631,-2.316767,0.535865,0.535865,-18.784924,2,1.033408
Daging Sapi,2024-10-01,2.034161,1.805877,-0.228283,0.228283,-11.222490,3,1.033408
Daging Sapi,2024-11-01,-0.314375,-0.027599,0.286776,0.286776,-91.220985,4,1.033408
Daging Sapi,2024-12-01,0.841953,0.039049,-0.802904,0.802904,-95.362061,5,1.033408
Daging Sapi,2025-01-01,0.032271,-0.095960,-0.128232,0.128232,-397.357451,6,1.033408
Gula Pasir,2024-08-01,0.002340,-0.062814,-0.065154,0.065154,-2784.147375,1,60.186813
Gula Pasir,2024-09-01,0.187673,0.000393,-0.187280,0.187280,-99.790637,2,60.186813
Gula Pasir,2024-10-01,0.002199,-0.157615,-0.159814,0.159814,-7266.737943,3,60.186813
Gula Pasir,2024-11-01,-0.070532,0.304293,0.374825,0.374825,-531.426001,4,60.186813
Gula Pasir,2024-12-01,-0.000472,-0.118639,-0.118168,0.118168,25057.418569,5,60.186813
Gula Pasir,2025-01-01,0.114002,-0.310733,-0.424735,0.424735,-372.567078,6,60.186813
Ikan Kembung,2024-08-01,-0.740594,-5.062611,-4.322017,4.322017,583.587846,1,9.134237
Ikan Kembung,2024-09-01,0.629992,5.240897,4.610904,4.610904,731.898290,2,9.134237
Ikan Kembung,2024-10-01,-0.132911,-1.464565,-1.331655,1.331655,1001.916729,3,9.134237
Ikan Kembung,2024-11-01,0.040678,0.933439,0.892761,0.892761,2194.725613,4,9.134237
Ikan Kembung,2024-12-01,-0.043841,-0.335997,-0.292156,0.292156,666.391592,5,9.134237
Ikan Kembung,2025-01-01,0.266083,1.069714,0.803631,0.803631,302.022225,6,9.134237
Jeruk,2024-08-01,-1.594131,-0.807589,0.786542,0.786542,-49.339875,1,12.405790
Jeruk,2024-09-01,1.783817,-1.618318,-3.402135,3.402135,-190.722236,2,12.405790
Jeruk,2024-10-01,0.877593,-2.364844,-3.242437,3.242437,-369.469339,3,12.405790
Jeruk,2024-11-01,-0.232917,-3.642656,-3.409739,3.409739,1463.928260,4,12.405790
