Jenis,Nama,Bulan,Tanggal,Forecast,Lower_CI,Upper_CI
Inflasi,Inflasi_MtM,2025-08,2025-08-01,0.0538,-1.0340,1.1415
Inflasi,Inflasi_MtM,2025-09,2025-09-01,0.0277,-1.1361,1.1915
Inflasi,Inflasi_MtM,2025-10,2025-10-01,0.0509,-1.1321,1.2340
Inflasi,Inflasi_MtM,2025-11,2025-11-01,0.0874,-1.0963,1.2710
Inflasi,Inflasi_MtM,2025-12,2025-12-01,0.1566,-1.0285,1.3416
Inflasi,Inflasi_MtM,2026-01,2026-01-01,-0.7017,-1.8860,0.4826
Inflasi,Inflasi_YoY,2025-08,2025-08-01,0.4024,-0.8473,1.6520
Inflasi,Inflasi_YoY,2025-09,2025-09-01,0.3012,-0.9574,1.5597
Inflasi,Inflasi_YoY,2025-10,2025-10-01,0.4392,-0.8842,1.7626
Inflasi,Inflasi_YoY,2025-11,2025-11-01,0.3883,-0.9800,1.7566
Inflasi,Inflasi_YoY,2025-12,2025-12-01,0.2238,-1.1917,1.6393
Inflasi,Inflasi_YoY,2026-01,2026-01-01,0.1829,-1.2770,1.6428
Inflasi,Inflasi_YtD,2025-08,2025-08-01,0.0711,-1.7587,1.9009
Inflasi,Inflasi_YtD,2025-09,2025-09-01,-0.2242,-2.0543,1.6059
Inflasi,Inflasi_YtD,2025-10,2025-10-01,0.2623,-1.5678,2.0924
Inflasi,Inflasi_YtD,2025-11,2025-11-01,0.2329,-1.5972,2.0630
Inflasi,Inflasi_YtD,2025-12,2025-12-01,0.5964,-1.2337,2.4265
Inflasi,Inflasi_YtD,2026-01,2026-01-01,-1.5598,-3.3899,0.2703
Komoditas,Bawang Merah,2025-09,2025-09-01,0.8570,-1.4851,3.1991
Komoditas,Bawang Merah,2025-10,2025-10-01,0.7873,-1.7221,3.2967
Komoditas,Bawang Merah,2025-11,2025-11-01,0.2215,-2.3386,2.7816
Komoditas,Bawang Merah,2025-12,2025-12-01,0.1544,-2.4078,2.7166
Komoditas,Bawang Merah,2026-01,2026-01-01,-0.0428,-2.5947,2.5092
Komoditas,Bawang Merah,2026-02,2026-02-01,0.0142,-2.5122,2.5406
Komoditas,Bawang Putih,2025-09,2025-09-01,-0.1753,-0.5731,0.2224
Komoditas,Bawang Putih,2025-10,2025-10-01,0.1162,-0.2914,0.5239
Komoditas,Bawang Putih,2025-11,2025-11-01,-0.0897,-0.4996,0.3203
Komoditas,Bawang Putih,2025-12,2025-12-01,0.1910,-0.2189,0.6009
Komoditas,Bawang Putih,2026-01,2026-01-01,-0.0384,-0.4469,0.3702
Komoditas,Bawang Putih,2026-02,2026-02-01,0.0193,-0.3851,0.4238
Komoditas,Beras,2025-09,2025-09-01,0.4346,-1.1363,2.0055
Komoditas,Beras,2025-10,2025-10-01,-0.4873,-2.2077,1.2332
Komoditas,Beras,2025-11,2025-11-01,-0.3900,-2.1488,1.3687
Komoditas,Beras,2025-12,2025-12-01,0.0671,-1.6967,1.8309
Komoditas,Beras,2026-01,2026-01-01,0.4034,-1.3630,2.1699
Komoditas,Beras,2026-02,2026-02-01,0.6025,-1.1638,2.3688
Komoditas,Cabai Merah,2025-09,2025-09-01,-0.1631,-1.3949,1.0687
Komoditas,Cabai Merah,2025-10,2025-10-01,0.3331,-0.9557,1.6220
Komoditas,Cabai Merah,2025-11,2025-11-01,0.0403,-1.2633,1.3439
Komoditas,Cabai Merah,2025-12,2025-12-01,0.1098,-1.1937,1.4133
Komoditas,Cabai Merah,2026-01,2026-01-01,-0.7197,-2.0181,0.5787
Komoditas,Cabai Merah,2026-02,2026-02-01,0.7321,-0.5532,2.0174
Komoditas,Cabai Rawit,2025-09,2025-09-01,-0.3403,-3.5026,2.8221
Komoditas,Cabai Rawit,2025-10,2025-10-01,0.7444,-2.7937,4.2825
Komoditas,Cabai Rawit,2025-11,2025-11-01,-0.1317,-3.7827,3.5194
Komoditas,Cabai Rawit,2025-12,2025-12-01,0.0759,-3.5970,3.7488
Komoditas,Cabai Rawit,2026-01,2026-01-01,0.2825,-3.4009,3.9658
Komoditas,Cabai Rawit,2026-02,2026-02-01,-0.3340,-4.0179,3.3499
Komoditas,Daging Ayam Ras,2025-09,2025-09-01,0.0716,-0.8259,0.9691
Komoditas,Daging Ayam Ras,2025-10,2025-10-01,0.2334,-0.6748,1.1417
Komoditas,Daging Ayam Ras,2025-11,2025-11-01,0.0963,-0.8143,1.0068
