Urut,Periode,Tahun,Bulan,Inflasi Month to Month,Inflasi Year to Date,Inflasi Year on Year
1,20_Jan,2020,01-Januari,0.41,0.41,1.15
2,20_Feb,2020,02-Februari,0.28,0.69,1.76
3,20_Mar,2020,03-Maret,-0.41,0.28,1.13
4,20_Apr,2020,04-April,-0.12,0.17,0.83
5,20_Mei,2020,05-Mei,0.27,0.44,0.78
6,20_Jun,2020,06-Juni,0.44,0.88,1.31
7,20_Jul,2020,07-Juli,0.06,0.94,1.21
8,20_Agu,2020,08-Agustus,-0.06,0.88,1.12
9,20_Sep,2020,09-September,-0.05,0.83,1.22
10,20_Okt,2020,10-Oktober,-0.06,0.77,1.22
11,20_Nov,2020,11-November,0.31,1.08,1.43
12,20_Des,2020,12-Desember,0.34,1.42,1.42
13,21_Jan,2021,01-Januari,0.06,0.06,1.07
14,21_Feb,2021,02-Februari,-0.01,0.05,0.77
15,21_Mar,2021,03-Maret,0.08,1.26,0.12
16,21_Apr,2021,04-April,0.10,0.22,1.48
17,21_Mei,2021,05-Mei,0.14,0.37,1.35
18,21_Jun,2021,06-Juni,0.08,0.44,0.99
19,21_Jul,2021,07-Juli,0.11,0.55,1.03
20,21_Agu,2021,08-Agustus,0.03,0.58,1.12
21,21_Sep,2021,09-September,-0.02,0.56,1.15
22,21_Okt,2021,10-Oktober,0.19,0.75,1.40
23,21_Nov,2021,11-November,0.26,1.01,1.35
24,21_Des,2021,12-Desember,0.73,1.75,1.75
25,22_Jan,2022,01-Januari,0.52,0.52,2.22
26,22_Feb,2022,02-Februari,0.18,0.70,2.41
27,22_Mar,2022,03-Maret,0.63,1.33,2.98
28,22_Apr,2022,04-April,1.44,2.79,4.35
29,22_Mei,2022,05-Mei,0.51,3.32,4.74
30,22_Jun,2022,06-Juni,0.61,3.95,5.30
31,22_Jul,2022,07-Juli,0.76,4.74,5.99
32,22_Agu,2022,08-Agustus,-0.03,4.71,5.94
33,22_Sep,2022,09-September,1.06,5.83,7.08
34,22_Okt,2022,10-Oktober,-0.11,5.72,6.76
35,22_Nov,2022,11-November,0.12,5.84,6.61
36,22_Des,2022,12-Desember,0.58,6.45,6.45
37,23_Jan,2023,01-Januari,0.15,0.15,6.06
38,23_Feb,2023,02-Februari,0.09,0.24,5.97
39,23_Mar,2023,03-Maret,0.42,0.66,5.74
40,23_Apr,2023,04-April,0.24,0.90,4.49
41,23_Mei,2023,05-Mei,0.25,1.14,4.22
42,23_Jun,2023,06-Juni,0.07,1.22,3.65
43,23_Jul,2023,07-Juli,0.19,1.41,3.07
44,23_Agu,2023,08-Agustus,0.07,1.48,3.17
45,23_Sep,2023,09-September,0.18,1.67,2.27
46,23_Okt,2023,10-Oktober,0.26,1.93,2.65
47,23_Nov,2023,11-November,0.40,2.34,2.94
48,23_Des,2023,12-Desember,0.22,2.56,2.56
49,24_Jan,2024,01-Januari,-0.23,-0.23,2.29
50,24_Feb,2024,02-Februari,0.50,0.27,2.64
51,24_Mar,2024,03-Maret,0.66,0.94,2.90
52,24_Apr,2024,04-April,0.08,1.01,2.89
53,24_Mei,2024,05-Mei,-0.08,0.93,2.45
54,24_Jun,2024,06-Juni,-0.36,0.57,2.02
55,24_Jul,2024,07-Jul,-0.01,0.56,1.83
56,24_Agu,2024,08-Agu,0.04,0.60,1.88
57,24_Sep,2024,09-Sep,-0.14,0.45,1.62
58,24_Okt,2024,10-Okt,0.20,0.65,1.53
59,24_Nov,2024,11-Nov,0.24,0.89,1.22
60,24_Des,2024,12-Des,0.46,1.36,1.36
61,25_Jan,2025,01-Jan,-0.60,-0.60,0.98
62,25_Feb,2025,02-Feb,-0.69,-1.28,-0.22
63,25_Mar,2025,03-Mar,1.37,0.07,0.49
64,25_Apr,2025,04-Apr,1.07,1.15,1.49
65,25_Mei,2025,05-Mei,-0.21,0.94,1.36
66,25_Jun,2025,06-Juni,0.38,1.32,2.11
67,25_Jul,2025,07-Juli,0.12,1.44,2.24
